split,label,frames,subjects,videos
test,fake,4720,31,31
test,real,12962,150,150
test,spoof,7254,114,114
train,fake,21806,136,136
train,real,54272,661,661
train,spoof,35006,554,554
val,fake,5217,31,31
val,real,12136,139,139
val,spoof,7631,120,120
